symbol,date,gap,atr_pct,entry,exit,reason,exit_min,gross,ret,period
CIFR,2025-12-17,0.044696464309539774,0.12284237110454588,15.1,15.855,stop,600,-0.04761904761904767,-0.04901904761904767,OOS
NBIS,2025-12-17,0.03878937615812239,0.08544330715609282,78.68,75.45,eod,945,0.0428098078197483,0.041409807819748304,OOS
SNDK,2025-12-17,0.03191438536142566,0.10143126736146658,212.31,206.83,eod,945,0.0264951892858869,0.0250951892858869,OOS
WULF,2025-12-17,0.033102386451116184,0.10126195974925768,12.88,11.57,eod,945,0.11322385479688846,0.11182385479688846,OOS
AMKR,2025-12-18,0.04900952131346625,0.060769887409030963,39.4780819908397,39.109872,eod,945,0.009414758269720158,0.008014758269720158,OOS
BE,2025-12-18,0.0771729245160453,0.13531858423504517,81.42,80.21,eod,945,0.015085400822840045,0.013685400822840045,OOS
BMNR,2025-12-18,0.06377899045020463,0.11404811927499513,30.5301,28.43,eod,945,0.07386915230390434,0.07246915230390434,OOS
BTDR,2025-12-18,0.06762295081967218,0.09005269320843094,10.15,10.01,eod,945,0.013986013986013957,0.012586013986013956,OOS
CLSK,2025-12-18,0.0378919860627176,0.11920918367346937,11.75,11.2,eod,945,0.049107142857143016,0.04770714285714302,OOS
COIN,2025-12-18,0.03646750481182681,0.056749691399554214,247.92,239.2,eod,945,0.03645484949832767,0.03505484949832767,OOS
